district,city,lat,lon
Khanh Son,Khanh Hoa,12.0167,108.9333
Khanh Vinh,Khanh Hoa,12.2833,108.8667
Truong Sa,Khanh Hoa,10.1167,114.3667
Van Ninh,Khanh Hoa,12.7167,109.2167
Phan Rang,Ninh Thuan,11.5667,108.9833
Bac Ai,Ninh Thuan,11.8333,108.8500
Ninh Hai,Ninh Thuan,11.6000,109.0833
Ninh Phuoc,Ninh Thuan,11.5167,108.9500
Ninh Son,Ninh Thuan,11.6667,108.8167
Thuan Bac,Ninh Thuan,11.7500,109.0833
Thuan Nam,Ninh Thuan,11.4167,108.9167
Phan Thiet,Binh Thuan,10.9333,108.1000
La Gi,Binh Thuan,10.6667,107.7500
Bac Binh,Binh Thuan,11.2333,108.3333
Duc Linh,Binh Thuan,11.1333,107.5167
Ham Thuan Bac,Binh Thuan,11.0833,108.0167
Ham Thuan Nam,Binh Thuan,10.9167,107.8833
Ham Tan,Binh Thuan,10.7500,107.6667
Phu Quy,Binh Thuan,10.5167,108.9333
Tanh Linh,Binh Thuan,11.0833,107.7500
Tuy Phong,Binh Thuan,11.2500,108.7167
